"id","name","parent_id:id","type"
"kategori_produk_87","Panel Listrik","kategori_produk_76","normal"
"kategori_produk_88","Perangkat Pendukung (Kabel, Conector, Fiber Optic, SFP, Alat Ukur LAN, dll)","kategori_produk_76","normal"
"kategori_produk_89","Consumer Grade Networking Hardware","kategori_produk_76","normal"
"kategori_produk_90","Enterprise Grade Networking Hardware","kategori_produk_76","normal"
"kategori_produk_91","Enterprise Grade Networking Hardware Component","kategori_produk_76","normal"
"kategori_produk_92","Kabel/Adapter Kabel/Konektor Kabel Jaringan","kategori_produk_76","normal"
"kategori_produk_93","Alat Tes/Ukur Jaringan","kategori_produk_76","normal"
"kategori_produk_94","Perangkat Jaringan Unit Usaha Syariah","kategori_produk_76","normal"
"kategori_produk_95","Tower Server","kategori_produk_76","normal"
"kategori_produk_96","NAS","kategori_produk_76","normal"
"kategori_produk_97","Data Center (DC)","kategori_produk_76","normal"
"kategori_produk_98","Disaster Recovery Center (DRC)","kategori_produk_76","normal"
"kategori_produk_99","Komputer/ Laptop","kategori_produk_31","view"
"kategori_produk_100","Desktop Computer","kategori_produk_99","normal"
"kategori_produk_101","Laptop","kategori_produk_99","normal"
"kategori_produk_102","All-in-one Computer","kategori_produk_99","normal"
"kategori_produk_103","Perlengkapan Rumah Tangga","kategori_produk_31","view"
"kategori_produk_104","Kompor/ Tabung Gas","kategori_produk_103","normal"
"kategori_produk_105","Kulkas ","kategori_produk_103","normal"
"kategori_produk_106","Dispenser Air","kategori_produk_103","normal"
"kategori_produk_107","Mesin Cuci","kategori_produk_103","normal"
"kategori_produk_108","Air Coditioner (AC), termasuk Compressornya","kategori_produk_103","normal"
"kategori_produk_109","Kipas Angin","kategori_produk_103","normal"
"kategori_produk_110","Exhaust (Pembuagan Uap)","kategori_produk_103","normal"
"kategori_produk_111","Blower Blade Center","kategori_produk_103","normal"
"kategori_produk_112","Mesin pembasmi virus, bakteri dan jamur (Hysafe Air)","kategori_produk_103","normal"
"kategori_produk_113","Mesin pengatur kelembaban udara indoor (Air Purifier)","kategori_produk_103","normal"
"kategori_produk_114","Brankas","kategori_produk_103","normal"
"kategori_produk_115","Filling Kabinet ","kategori_produk_103","normal"
"kategori_produk_116","Cash Box","kategori_produk_103","normal"
"kategori_produk_117","Alat Pemadam/ Hydrant","kategori_produk_103","normal"
"kategori_produk_118","Fire Alarm System","kategori_produk_103","normal"
"kategori_produk_119","Mesin Genset (termasuk : Travo Listrik, Travo Las Inverter)","kategori_produk_103","normal"
"kategori_produk_120","Neon sign (termasuk : Bacdroop, Letter sign/Huruf timbul &amp; Logo)","kategori_produk_103","normal"
"kategori_produk_121","Rambu Lalu Lintas (Petunjuk Arah, Larangan, Peringatan)","kategori_produk_103","normal"
"kategori_produk_122","Karpet ( termasuk jenis katun, kulit, polypropylene, sisal, wool)","kategori_produk_103","normal"
"kategori_produk_123","Blinds dan Gorden (Roller, Vertical, Horizontal)","kategori_produk_103","normal"
"kategori_produk_124","Breket (Standing, dinding)","kategori_produk_103","normal"
"kategori_produk_125","Tenda (termasuk tenda kerucut, Lipat)","kategori_produk_103","normal"
"kategori_produk_126","Thermostat Digital (alat pengatur suhu agar tetap stabil)","kategori_produk_103","normal"
"kategori_produk_127","Penampungan air (Tandon), termasuk tangki fiber, stainless, bawah tanah, Mesin Pompa Pengisian (air)","kategori_produk_103","normal"
"kategori_produk_128","Acces Control/ Kunci Elektronik/ Elektronic Door Lock/ Finger Lock","kategori_produk_103","normal"
"kategori_produk_129","Perlengkapan Audio Video","kategori_produk_31","normal"
"kategori_produk_130","Monitor/ TV/ LCD/ LED/ Alat Display Lainnya","kategori_produk_129","normal"
"kategori_produk_131","Kamera/ Video Recorder (DSLR &amp; Pocket)","kategori_produk_129","normal"
"kategori_produk_132","In Focus/ Projector (termasuk layar)","kategori_produk_129","normal"
"kategori_produk_133","Audio Sound System (Termasuk : Microphone)","kategori_produk_129","normal"
"kategori_produk_134","Remote Conference System","kategori_produk_129","normal"
"kategori_produk_135","Alat Perekam Voice Recorder","kategori_produk_129","normal"
"kategori_produk_136","CCTV System","kategori_produk_129","normal"
"kategori_produk_137","Aset tidak berwujud",,"view"
"kategori_produk_138","Aplikasi","kategori_produk_137","view"
"kategori_produk_139","Aplikasi   SCV Pelaporan","kategori_produk_138","normal"
"kategori_produk_140","Aplikasi  Obox (OJK BOX)","kategori_produk_138","normal"
"kategori_produk_141","Aplikasi Audit Management System (AMS)","kategori_produk_138","normal"
"kategori_produk_142","Aplikasi BI-RTGS Gen II (Konv &amp; Syariah)","kategori_produk_138","normal"
"kategori_produk_143","Aplikasi Dashboard","kategori_produk_138","normal"
"kategori_produk_144","Aplikasi E Ducomen","kategori_produk_138","normal"
"kategori_produk_145","Aplikasi Early Warning System","kategori_produk_138","normal"
"kategori_produk_146","Aplikasi Interface SKNBI-NG","kategori_produk_138","normal"
"kategori_produk_147","Aplikasi Interfase BI RTGS","kategori_produk_138","normal"
"kategori_produk_148","Aplikasi Management Asset II","kategori_produk_138","normal"
"kategori_produk_149","Aplikasi Modul ","kategori_produk_138","normal"
"kategori_produk_150","Aplikasi Modul Rumah sakit","kategori_produk_138","normal"
"kategori_produk_151","Aplikasi MPN","kategori_produk_138","normal"
"kategori_produk_152","Aplikasi MPN  Gen  II","kategori_produk_138","normal"
"kategori_produk_153","Aplikasi PBB On Line","kategori_produk_138","normal"
"kategori_produk_154","Aplikasi Pelaporan Antasena","kategori_produk_138","normal"
"kategori_produk_155","Aplikasi Sistem  Implementasi M Risiko","kategori_produk_138","normal"
"kategori_produk_156","Aplikasi Software Monitoring System","kategori_produk_138","normal"
"kategori_produk_157","Aplikasi VBS Konvensional","kategori_produk_138","normal"
"kategori_produk_158","Aplikasi VBS Syariah","kategori_produk_138","normal"
"kategori_produk_159","Configuration BIG Aplication Firewall Module","kategori_produk_138","normal"
"kategori_produk_160","DRC","kategori_produk_138","normal"
"kategori_produk_161","DRP System","kategori_produk_138","normal"
"kategori_produk_162","Engine Valodator","kategori_produk_138","normal"
"kategori_produk_163","Implementasi Actiove Directory","kategori_produk_138","normal"
"kategori_produk_164","Implementasi Base Risk audit","kategori_produk_138","normal"
"kategori_produk_165","Implementasi Business Contuinty","kategori_produk_138","normal"
