"id","name","journal_id:id","account_asset_id:id","account_depreciation_id:id","account_expense_depreciation_id:id","improvement_journal_id:id","impairment_journal_id:id","impairment_account_id:id","impairment_expense_account_id:id","impairment_reversal_account_id:id","method_time","method_number","method_period","method","method_progress_factor","prorata","date_min_prorate","sequence_id:id","asset_cancel_group_ids:id","asset_cancel_group_ids:id"
"kategori_aset_36","Pot/ Rak Bunga dari Kayu","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_7","group_pat_validator","group_pat_validator"
"kategori_aset_37","Paket Mobiler Standarisasi dari Kayu","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_7","group_pat_validator","group_pat_validator"
"kategori_aset_38","Paket Prabot &amp; Perlengkapan Interior dari Kayu","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_7","group_pat_validator","group_pat_validator"
"kategori_aset_40","Meja dari Logam","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_8","group_pat_validator","group_pat_validator"
"kategori_aset_41","Bangku/ Kursi/ Sofa dari Logam","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_8","group_pat_validator","group_pat_validator"
"kategori_aset_42","Lemari/ Rak/ Locker/ Credenza/ Bufet dari Logam","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_8","group_pat_validator","group_pat_validator"
"kategori_aset_43","Pot/ Rak Bunga dari Logam","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_8","group_pat_validator","group_pat_validator"
"kategori_aset_44","Paket Mobiler Standarisasi dari logam","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_8","group_pat_validator","group_pat_validator"
"kategori_aset_45","Paket Prabot &amp; Perlengkapan Interior dari logam","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_8","group_pat_validator","group_pat_validator"
"kategori_aset_46","Pemasangan Rangka Besi (termasuk : Baliho, Spanduk, Umbul-Umbul)","account_journal_depreciation","account_008","account_009","account_010","account_journal_improvement","account_journal_impairment","account_011","account_012","account_013","year",4,"month","degressive",0.5,"True",31,"sequence_lot_8","group_pat_validator","group_pat_validator"
